"","ma","thuoc","ThuongMai","dvt","hoatchat","nhomBD","nhomdieutri","tondauky_sl","tondauky_thanhtien","nhaptrongky_sl","nhaptrongky_thanhtien","xuattrongky_sl","xuattrongky_thanhtien","toncuoiky_sl","toncuoiky_thanhtien","thang","nam"
"13492","NysT1","nystatine, 25.000ui,gói (cpdp 3/2 ,việt nam) 010161, 01/08/2018","Nystatin","goi","nystatin_25000iu",2,16,2876,2686184,0,0,324,302616,2552,2383568,7,2017
"13493","NysT1","nystatine, 25.000ui,gói (cpdp 3/2 ,việt nam) 010161, 01/08/2018","Nystatin","goi","nystatin_25000iu",2,16,2552,2383568,0,0,606,566004,1946,1817564,8,2017
"13494","NysT1","nystatine, 25.000ui,gói (cpdp 3/2 ,việt nam) 010161, 01/08/2018","Nystatin","goi","nystatin_25000iu",2,16,1946,1817564,0,0,356,332504,1590,1485060,9,2017
"13495","NysT1","nystatine, 25.000ui,gói (cpdp 3/2 ,việt nam) 010161, 01/08/2018","Nystatin","goi","nystatin_25000iu",2,16,1590,1485060,0,0,612,571608,978,913452,10,2017
"13496","NysT1","nystatine, 25.000ui,gói (cpdp 3/2 ,việt nam) 010161, 01/08/2018","Nystatin","goi","nystatin_25000iu",2,16,978,913452,0,0,594,554796,384,358656,11,2017
"13497","NysT1","nystatine, 25.000ui,gói (cpdp 3/2 ,việt nam) 010161, 01/08/2018","Nystatin","goi","nystatin_25000iu",2,16,384,358656,0,0,384,358656,0,0,12,2017
"13498","NysT1","nystatine, 25.000ui,gói (cpdp 3/2 ,việt nam) 010161, 01/08/2018","Nystatin","goi","nystatin_25000iu",2,16,0,0,0,0,0,0,0,0,6,2018
"13499","OCTR01","Octreodtide_DBL 0,1mg/1ml [Octreotid](Lô:),Date )'HSX:Omega Laboratories Ltd.' 'NSX:Canada","Octreodtide_DBL","lo","octreotid_0,1mg_ml",2,38,0,0,5,644000,0,0,5,644000,12,2018
"13500",NA,"oliclinomel (n7-1000 e), 1000ml,bịch (baxter,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,36,30959976.88,30,25799981,26,22359983.54,40,34399974.34,1,2014
"13501",NA,"oliclinomel (n7-1000 e), 1000ml,bịch (baxter,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,40,34399974.34,0,0,4,3439997.32,36,30959977.02,2,2014
"13502",NA,"oliclinomel (n7-1000 e), 1000ml,bịch (baxter,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,36,30959977.02,17,14619988.8,9,7739994.03,44,37839971.79,3,2014
"13503",NA,"oliclinomel (n7-1000 e), 1000ml,bịch (baxter,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,44,37839971.79,0,0,28,24079982.3,16,13759989.49,4,2014
"13504",NA,"oliclinomel (n7-1000 e), 1000ml,bịch (baxter,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,16,13759989.49,60,51599988,59,50739988.82,17,14619988.67,5,2014
"13505",NA,"oliclinomel (n7-1000 e), 1000ml,túi (baxter,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,17,14619988.67,96,82559939,106,91159932.15,7,6019995.52000001,6,2014
"13506","OLNT","oliclinomel n4-550 e
 , 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,35,24377451,0,0,0,0,35,24377451,9,2015
"13507","OLNT","oliclinomel n4-550 e
 , 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,35,24377451,12,8357983,15,10447479,32,22287955,10,2015
"13508","OLNT","oliclinomel n4-550 e
 , 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,32,22287955,12,8357983,14,9750980.4,30,20894957.6,11,2015
"13509","OLNT","oliclinomel n4-550 e
 , 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,30,20894957.6,36,25073949.4,44,30645937.8,22,15322969.2,12,2015
"13510","OLNT","oliclinomel n4-550 e
 , 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,22,15322969.2,60,41789916,24,16715966.4,58,40396918.8,1,2016
"13511","OLNT","oliclinomel n4-550 e
 , 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,58,40396918.8,0,0,16,11143977.6,42,29252941.2,2,2016
"13512","OLNT","oliclinomel n4-550 e
 , 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,42,29252941.2,54,37610924,20,13929972,76,52933893.2,3,2016
"13513","OLNT","oliclinomel n4-550 e
 , 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,76,52933893.2,0,0,31,21591456.6,45,31342436.6,4,2016
"13514","OLNT","oliclinomel n4-550 e
 , 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,45,31342436.6,12,8357983.5,17,11840476.2,40,27859943.9,5,2016
"13515","OLNT","oliclinomel n4-550 e
 , 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,40,27859943.9,18,12536975,33,22984453.56,25,17412465.34,6,2016
"13516","OLNT","oliclinomel n4-550 e
 , 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,25,17412465.34,48,33431933,10,6964986.17,63,43879412.17,7,2016
"13517","OLNT","oliclinomel n4-550 e
 , 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,63,43879412.17,108,75221847,21,14626470.83,150,104474788.34,8,2016
"13518","OLNT","oliclinomel n4-550 e
 , 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,150,104474788.34,0,0,23,16019468.07,127,88455320.27,9,2016
"13519","OLNT","oliclinomel n4-550 e
 , 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,127,88455320.27,0,0,42,29252940.73,85,59202379.54,10,2016
"13520","OLNT","oliclinomel n4-550 e
 , 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,85,59202379.54,0,0,8,5571988.64,77,53630390.9,11,2016
"13521","OLNT","oliclinomel n4-550 e
 , 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,77,53630390.9,60,41789916,19,13233473.1,118,82186833.8,12,2016
"13522","OLNT","oliclinomel n4-550 e
 , 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,118,82186833.8,0,0,16,11143977.32,102,71042856.48,1,2017
"13523","OLNT","oliclinomel n4-550 e
 , 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,102,71042856.48,0,0,17,11840475.94,85,59202380.54,2,2017
"13524","OlNT6","oliclinomel n4-550 e
 *_, 5,5% + 20% + 10%
 ,túi (baxter s.a,bỉ) 17f08n51, 31/05/2019","oliclinomel_n4","tui","acid_amin",2,47,0,0,18,12536975,0,0,18,12536975,4,2018
"13525","OlNT6","oliclinomel n4-550 e
 *_, 5,5% + 20% + 10%
 ,túi (baxter s.a,bỉ) 17f08n51, 31/05/2019","oliclinomel_n4","tui","acid_amin",2,47,18,12536975,24,16715966,1,696498.609999998,41,28556442.39,5,2018
"13526","OlNT6","oliclinomel n4-550 e
 *_, 5,5% + 20% + 10%
 ,túi (baxter s.a,bỉ) 17f08n51, 31/05/2019","oliclinomel_n4","tui","acid_amin",2,47,41,28556442.39,0,0,0,0,41,28556442.39,6,2018
"13527","OlNT4","oliclinomel n4-550 e
 *_, 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,0,0,120,83579832,0,0,120,83579832,4,2017
"13528","OlNT4","oliclinomel n4-550 e
 *_, 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,120,83579832,0,0,0,0,120,83579832,5,2017
"13529","OlNT4","oliclinomel n4-550 e
 *_, 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ) 16h09n22, 31/07/2018","oliclinomel_n4","tui","acid_amin",2,47,120,83579832,60,41789916,73,50844397.8,107,74525350.2,6,2017
"13530","OlNT4","oliclinomel n4-550 e
 *_, 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ) 16h09n22, 31/07/2018","oliclinomel_n4","tui","acid_amin",2,47,107,74525350.2,150,104474790,116,80793837.6,141,98206302.6,7,2017
"13531","OlNT4","oliclinomel n4-550 e
 *_, 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ) 16l07n50, 30/11/2018","oliclinomel_n4","tui","acid_amin",2,47,141,98206302.6,0,0,13,9054481.8,128,89151820.8,8,2017
"13532","OlNT4","oliclinomel n4-550 e
 *_, 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ) 16l07n50, 30/11/2018","oliclinomel_n4","tui","acid_amin",2,47,128,89151820.8,0,0,20,13929972,108,75221848.8,9,2017
"13533","OlNT4","oliclinomel n4-550 e
 *_, 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ) 17c09n40, 28/02/2019","oliclinomel_n4","tui","acid_amin",2,47,108,75221848.8,18,12536975,68,47361904.8,58,40396919,10,2017
"13534","OlNT4","oliclinomel n4-550 e
 *_, 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ) 17c09n40, 28/02/2019","oliclinomel_n4","tui","acid_amin",2,47,58,40396919,18,12536975,34,23680952.4,42,29252941.6,11,2017
"13535","OlNT4","oliclinomel n4-550 e
 *_, 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ) 17c09n40, 28/02/2019","oliclinomel_n4","tui","acid_amin",2,47,42,29252941.6,0,0,12,8357983.26,30,20894958.34,12,2017
"13536","OlNT4","oliclinomel n4-550 e
 *_, 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ) 17c09n40, 28/02/2019","oliclinomel_n4","tui","acid_amin",2,47,30,20894958.34,0,0,0,0,30,20894958.34,1,2018
"13537","OlNT4","oliclinomel n4-550 e
 *_, 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ) 17c09n40, 28/02/2019","oliclinomel_n4","tui","acid_amin",2,47,30,20894958.34,0,0,26,18108963.9,4,2785994.44,2,2018
"13538","OlNT4","oliclinomel n4-550 e
 *_, 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ) 17c09n40, 28/02/2019","oliclinomel_n4","tui","acid_amin",2,47,4,2785994.44,12,8357983,5,3482493.06,11,7661484.38,3,2018
"13539","OLNT","oliclinomel n4-550 e
 *, 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,85,59202380.54,0,0,10,6964985.8,75,52237394.74,3,2017
"13540","OLNT","oliclinomel n4-550 e
 *, 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,75,52237394.74,0,0,56,39003921.34,19,13233473.4,4,2017
"13541","OLNT","oliclinomel n4-550 e
 *, 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,19,13233473.4,0,0,14,9750980.4,5,3482493,5,2017
"13542","OLNT","oliclinomel n4-550 e
 *, 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ) 16g05n52, 30/06/2018","oliclinomel_n4","tui","acid_amin",2,47,5,3482493,30,20894958,35,24377451,0,0,6,2017
"13543","OlNT4","oliclinomel n4-550 e
 *, 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ) 17f08n51, 31/05/2019","oliclinomel_n4","tui","acid_amin",2,47,11,7661484.38,0,0,6,4178991.48,5,3482492.9,4,2018
"13544","OlNT4","oliclinomel n4-550 e
 *, 5.5% + 20% + 10%
 ,túi (baxter s.a,bỉ) 17f08n51, 31/05/2019","oliclinomel_n4","tui","acid_amin",2,47,5,3482492.9,0,0,5,3482492.9,0,0,5,2018
"13545","OLI001","OliClinomel N4-550 E 5,5% + 20% + 10% [Acid amin + glucose + lipid (*)](Lô: ),Date 310519)'HSX:Baxter S.A' 'NSX:Bỉ","oliclinomel_n4","tui","acid_amin",2,47,17,11840476.39,0,0,2,1392997.22235294,15,10447479.1676471,7,2018
"13546","OLI001","OliClinomel N4-550 E 5,5% + 20% + 10% [Acid amin + glucose + lipid (*)](Lô: ),Date 310519)'HSX:Baxter S.A' 'NSX:Bỉ","oliclinomel_n4","tui","acid_amin",2,47,15,10447479.1676471,0,0,4,2785994.44470588,11,7661484.72294118,8,2018
"13547","OLI001","OliClinomel N4-550 E 5,5% + 20% + 10% [Acid amin + glucose + lipid (*)](Lô: ),Date 310519)'HSX:Baxter S.A' 'NSX:Bỉ","oliclinomel_n4","tui","acid_amin",2,47,20,13929971.6666667,0,0,20,13929971.6666667,0,0,9,2018
"13548","OLI001","OliClinomel N4-550 E 5,5% + 20% + 10% [Acid amin + glucose + lipid (*)](Lô: ),Date 310519)'HSX:Baxter S.A' 'NSX:Bỉ","oliclinomel_n4","tui","acid_amin",2,47,11,7661484.72294118,0,0,8,5571988.88941177,3,2089495.83352941,9,2018
"13549","OLI001","OliClinomel N4-550 E 5,5% + 20% + 10% [Acid amin + glucose + lipid (*)](Lô: ),Date 310519)'HSX:Baxter S.A' 'NSX:Bỉ","oliclinomel_n4","tui","acid_amin",2,47,3,2089495.83352941,0,0,1,696498.611176471,2,1392997.22235294,10,2018
"13550","OLI001","OliClinomel N4-550 E 5,5% + 20% + 10% [Acid amin + glucose + lipid (*)](Lô: ),Date 310519)'HSX:Baxter S.A' 'NSX:Bỉ","oliclinomel_n4","tui","acid_amin",2,47,2,1392997.22235294,0,0,0,0,2,1392997.22235294,11,2018
"13551","OLI001","OliClinomel N4-550 E 5,5% + 20% + 10% [Acid amin + glucose + lipid (*)](Lô:),Date )'HSX:Baxter S.A' 'NSX:Bỉ","oliclinomel_n4","tui","acid_amin",2,47,2,1392997.22235294,0,0,0,0,2,1392997.22235294,12,2018
"13552","OLI001","OliClinomel N4-550 E 5,5% + 20% + 10% [Acid amin + glucose + lipid (*)](Lô:),Date 310519)'HSX:Baxter S.A' 'NSX:Bỉ","oliclinomel_n4","tui","acid_amin",2,47,24,16715966,0,0,0,0,24,16715966,7,2018
"13553","OLI001","OliClinomel N4-550 E 5,5% + 20% + 10% [Acid amin + glucose + lipid (*)](Lô:),Date 310519)'HSX:Baxter S.A' 'NSX:Bỉ","oliclinomel_n4","tui","acid_amin",2,47,24,16715966,0,0,4,2785994.33333333,20,13929971.6666667,8,2018
"13554",NA,"oliclinomel n4-550 e, 10%+ 5.5%+ 20%, 1000ml,túi (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,13,9054487,30,20894958,22,15322974.4,21,14626470.6,7,2014
"13555",NA,"oliclinomel n4-550 e, 10%+ 5.5%+ 20%, 1000ml,túi (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,21,14626470.6,30,20894958,23,16019467.8,28,19501960.8,8,2014
"13556",NA,"oliclinomel n4-550 e, 10%+ 5.5%+ 20%, 1000ml,túi (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,28,19501960.8,0,0,4,2785994.4,24,16715966.4,9,2014
"13557",NA,"oliclinomel n4-550 e, 10%+ 5.5%+ 20%, 1000ml,túi (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,24,16715966.4,30,20894958,36,25073949.6,18,12536974.8,10,2014
"13558",NA,"oliclinomel n4-550 e, 10%+ 5.5%+ 20%, 1000ml,túi (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,18,12536974.8,60,41789916,7,4875490.2,71,49451400.6,11,2014
"13559",NA,"oliclinomel n4-550 e, 10%+ 5.5%+ 20%, 1000ml,túi (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,71,49451400.6,0,0,14,9750980.4,57,39700420.2,12,2014
"13560","OLNT","oliclinomel n4-550 e, 10%+ 5.5%+ 20%, 1000ml,túi (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,57,39700420.2,0,0,19,13233473.4,38,26466946.8,1,2015
"13561","OLNT","oliclinomel n4-550 e, 10%+ 5.5%+ 20%, 1000ml,túi (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,38,26466946.8,0,0,1,696498.6,37,25770448.2,2,2015
"13562","OLNT","oliclinomel n4-550 e, 10%+ 5.5%+ 20%, 1000ml,túi (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,37,25770448.2,0,0,7,4875490.2,30,20894958,3,2015
"13563","OLNT","oliclinomel n4-550 e, 10%+ 5.5%+ 20%, 1000ml,túi (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,30,20894958,0,0,18,12536974.8,12,8357983.2,4,2015
"13564","OLNT","oliclinomel n4-550 e, 10%+ 5.5%+ 20%, 1000ml,túi (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,12,8357983.2,54,37610924.4,9,6268487.4,57,39700420.2,5,2015
"13565","OLNT","oliclinomel n4-550 e, 10%+ 5.5%+ 20%, 1000ml,túi (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,57,39700420.2,0,0,7,4875490.2,50,34824930,6,2015
"13566","OLNT","oliclinomel n4-550 e, 10%+ 5.5%+ 20%, 1000ml,túi (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,50,34824930,0,0,9,6268487.4,41,28556442.6,7,2015
"13567","OLNT","oliclinomel n4-550 e, 10%+ 5.5%+ 20%, 1000ml,túi (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,41,28556442.6,0,0,6,4178991.6,35,24377451,8,2015
"13568",NA,"oliclinomel n4-550 e, 1000ml,bịch (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,27,18805462.2,60,41789916,25,17412465,62,43182913.2,1,2014
"13569",NA,"oliclinomel n4-550 e, 1000ml,bịch (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,62,43182913.2,0,0,13,9054481.8,49,34128431.4,2,2014
"13570",NA,"oliclinomel n4-550 e, 1000ml,bịch (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,49,34128431.4,29,20198459.2,77,53630392,1,696498.599999994,3,2014
"13571",NA,"oliclinomel n4-550 e, 1000ml,bịch (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,1,696498.6,54,37610924,30,20894957.8,25,17412464.8,4,2014
"13572",NA,"oliclinomel n4-550 e, 1000ml,bịch (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,25,17412464.8,66,45968934,35,24377454.8,56,39003944,5,2014
"13573",NA,"oliclinomel n4-550 e, 1000ml,túi (baxter,bỉ)","oliclinomel_n4","tui","acid_amin",2,47,56,39003944,0,0,43,29949457,13,9054487,6,2014
"13574","OLIC02","Oliclinomel N4-550E 5,5% + 20% + 10% [Acid amin + glucose + lipid (*)    ](Lô:),Date )'HSX:Baxter S.A' 'NSX:Bỉ","oliclinomel_n4","tui","acid_amin",2,47,30,20894958,0,0,0,0,30,20894958,12,2018
"13575","OLIC02","Oliclinomel N4-550E 5,5% + 20% + 10% [Acid amin + glucose + lipid (*)    ](Lô:17L06N42),Date 301119)'HSX:Baxter S.A' 'NSX:Bỉ","oliclinomel_n4","tui","acid_amin",2,47,0,0,30,20894958,0,0,30,20894958,9,2018
"13576","OLIC02","Oliclinomel N4-550E 5,5% + 20% + 10% [Acid amin + glucose + lipid (*)    ](Lô:17L06N42),Date 301119)'HSX:Baxter S.A' 'NSX:Bỉ","oliclinomel_n4","tui","acid_amin",2,47,30,20894958,0,0,0,0,30,20894958,10,2018
"13577","OLIC02","Oliclinomel N4-550E 5,5% + 20% + 10% [Acid amin + glucose + lipid (*)    ](Lô:17L06N42),Date 301119)'HSX:Baxter S.A' 'NSX:Bỉ","oliclinomel_n4","tui","acid_amin",2,47,30,20894958,0,0,0,0,30,20894958,11,2018
"13578","OLNT2","oliclinomel n7-1000 e
 , 10% + 40% + 20%
 ,túi (baxter s.a,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,85,73099946.25,42,36119972.8,71,61059955.17,56,48159963.88,9,2015
"13579","OLNT2","oliclinomel n7-1000 e
 , 10% + 40% + 20%
 ,túi (baxter s.a,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,56,48159963.88,42,36119973,34,29239978.16,64,55039958.72,10,2015
"13580","OLNT2","oliclinomel n7-1000 e
 , 10% + 40% + 20%
 ,túi (baxter s.a,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,64,55039958.72,0,0,52,44719966.68,12,10319992.04,11,2015
"13581","OLNT2","oliclinomel n7-1000 e
 , 10% + 40% + 20%
 ,túi (baxter s.a,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,12,10319992.04,96,82559937.6,74,63639951.72,34,29239977.92,12,2015
"13582","OLNT2","oliclinomel n7-1000 e
 , 10% + 40% + 20%
 ,túi (baxter s.a,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,34,29239977.92,114,98039926,39,33539974.71,109,93739929.21,1,2016
"13583","OLNT2","oliclinomel n7-1000 e
 , 10% + 40% + 20%
 ,túi (baxter s.a,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,109,93739929.21,0,0,23,19779985.16,86,73959944.05,2,2016
"13584","OLNT2","oliclinomel n7-1000 e
 , 10% + 40% + 20%
 ,túi (baxter s.a,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,86,73959944.05,30,25799981,72,61919953.13,44,37839971.92,3,2016
"13585","OLNT2","oliclinomel n7-1000 e
 , 10% + 40% + 20%
 ,túi (baxter s.a,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,44,37839971.92,120,103199922,89,76539942.65,75,64499951.27,4,2016
"13586","OLNT2","oliclinomel n7-1000 e
 , 10% + 40% + 20%
 ,túi (baxter s.a,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,75,64499951.27,36,30959976.5,104,89439932.4,7,6019995.37,5,2016
"13587","OLNT2","oliclinomel n7-1000 e
 , 10% + 40% + 20%
 ,túi (baxter s.a,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,7,6019995.37,120,103199922,72,61919953.6,55,47299963.77,6,2016
"13588","OLNT2","oliclinomel n7-1000 e
 , 10% + 40% + 20%
 ,túi (baxter s.a,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,55,47299963.77,132,113519915,143,122979907.35,44,37839971.42,7,2016
"13589","OLNT2","oliclinomel n7-1000 e
 , 10% + 40% + 20%
 ,túi (baxter s.a,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,44,37839971.42,120,103199922,131,112659914.85,33,28379978.57,8,2016
"13590","OLNT2","oliclinomel n7-1000 e
 , 10% + 40% + 20%
 ,túi (baxter s.a,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,33,28379978.57,140,120399910,65,55899957.75,108,92879930.82,9,2016
"13591","OLNT2","oliclinomel n7-1000 e
 , 10% + 40% + 20%
 ,túi (baxter s.a,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,108,92879930.82,0,0,9,7739994.15,99,85139936.67,10,2016
"13592","OLNT2","oliclinomel n7-1000 e
 , 10% + 40% + 20%
 ,túi (baxter s.a,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,99,85139936.67,30,25799981,84,72239946.26,45,38699971.41,11,2016
"13593","OLNT2","oliclinomel n7-1000 e
 , 10% + 40% + 20%
 ,túi (baxter s.a,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,45,38699971.41,98,84279936,51,43859967.49,92,79119939.92,12,2016
"13594","OLNT2","oliclinomel n7-1000 e
 , 10% + 40% + 20%
 ,túi (baxter s.a,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,92,79119939.92,0,0,12,10319991.96,80,68799947.96,1,2017
"13595","OLNT2","oliclinomel n7-1000 e
 , 10% + 40% + 20%
 ,túi (baxter s.a,bỉ)","oliclinomel_n7","tui","acid_amin",2,47,80,68799947.96,60,51599961,35,30099976.75,105,90299932.21,2,2017
"13596","OlNT5","oliclinomel n7-1000 e
 *_, 10% + 40% + 20%
 ,túi (baxter,belgium) 16g02n40, 30/11/2018","oliclinomel_n7","tui","acid_amin",2,47,93,79979940.39,150,128999903,97,83419937.78,146,125559905.61,11,2017
"13597","OlNT5","oliclinomel n7-1000 e
 *_, 10% + 40% + 20%
 ,túi (baxter,belgium) 16g02n40, 30/11/2018","oliclinomel_n7","tui","acid_amin",2,47,146,125559905.61,150,128999903,54,46439965.41,242,208119843.2,12,2017
"13598","OlNT5","oliclinomel n7-1000 e
 *_, 10% + 40% + 20%
 ,túi (baxter,belgium) 16g05n23, 30/06/2018","oliclinomel_n7","tui","acid_amin",2,47,12,10319992.44,240,206399845,97,83419937.69,155,133299899.75,8,2017
"13599","OlNT5","oliclinomel n7-1000 e
 *_, 10% + 40% + 20%
 ,túi (baxter,belgium) 16g05n23, 30/06/2018","oliclinomel_n7","tui","acid_amin",2,47,155,133299899.75,30,25799981,82,70519947.2,103,88579933.55,9,2017
"13600","OlNT5","oliclinomel n7-1000 e
 *_, 10% + 40% + 20%
 ,túi (baxter,belgium) 16l02n40, 30/11/2018","oliclinomel_n7","tui","acid_amin",2,47,103,88579933.55,66,56759957.5,76,65359950.66,93,79979940.39,10,2017
"13601","OlNT5","oliclinomel n7-1000 e
 *_, 10% + 40% + 20%
 ,túi (baxter,belgium) 17c01n52, 31/01/2019","oliclinomel_n7","tui","acid_amin",2,47,242,208119843.2,0,0,27,23219982.45,215,184899860.75,1,2018
"13602","OlNT5","oliclinomel n7-1000 e
 *_, 10% + 40% + 20%
 ,túi (baxter,belgium) 17c01n52, 31/01/2019","oliclinomel_n7","tui","acid_amin",2,47,215,184899860.75,0,0,32,27519979.2,183,157379881.55,2,2018
"13603","OlNT5","oliclinomel n7-1000 e
 *_, 10% + 40% + 20%
 ,túi (baxter,belgium) 17c01n52, 31/01/2019","oliclinomel_n7","tui","acid_amin",2,47,183,157379881.55,0,0,36,30959976.6,147,126419904.95,3,2018
"13604","OlNT5","oliclinomel n7-1000 e
 *_, 10% + 40% + 20%
 ,túi (baxter,belgium) 17c01n52, 31/01/2019","oliclinomel_n7","tui","acid_amin",2,47,147,126419904.95,0,0,58,49879962.8,89,76539942.15,4,2018
"13605","OlNT5","oliclinomel n7-1000 e
 *_, 10% + 40% + 20%
 ,túi (baxter,belgium) 17c01n52, 31/01/2019","oliclinomel_n7","tui","acid_amin",2,47,89,76539942.15,30,25799981,15,12899990.25,104,89439932.9,5,2018
"13606","OlNT5","oliclinomel n7-1000 e
 *_, 10% + 40% + 20%
 ,túi (baxter,belgium) 18a18n42, 31/12/2019","oliclinomel_n7","tui","acid_amin",2,47,104,89439932.9,30,25799981,25,21499983.75,109,93739930.15,6,2018
"13607","OlNT5","oliclinomel n7-1000 e
 *_, 10% + 40% + 20%
 ,túi (baxter,bỉ) 16g05n23, 30/06/2018","oliclinomel_n7","tui","acid_amin",2,47,0,0,30,25799981,18,15479988.56,12,10319992.44,7,2017
"13608","OLNT2","oliclinomel n7-1000 e
 *, 10% + 40% + 20%
 ,túi (baxter s.a,belgium)","oliclinomel_n7","tui","acid_amin",2,47,195,167699875.27,0,0,57,49019962.95,138,118679912.32,4,2017
